CaseID,StructID,GM_ID,gm_file,gm_dt_sec,gm_unit,gm_scale,k_global_scale,qy_global_scale,mass_scale,damping_ratio,alpha_post,story_height_m,n_story,k1_scale,k2_scale,k3_scale,k4_scale,k5_scale,qy1_scale,qy2_scale,qy3_scale,qy4_scale,qy5_scale,K1_N_per_m,K2_N_per_m,K3_N_per_m,K4_N_per_m,K5_N_per_m,Qy1_N,Qy2_N,Qy3_N,Qy4_N,Qy5_N,floor_mass_kg,model_type,run_status,success,message,top_disp_max_m,max_story_drift,base_shear_max_N,analysis_time_sec
Case1654,Struct0827,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,1.0358,0.8611,0.8815,0.0777,0.0175,3.292,5,1.1199,0.916,1.1295,1.1473,1.112,1.0082,1.1102,1.0335,1.1347,1.0364,208798635.6,156550812,175490415,160430400.9,138217152,3472644.08,3537174.91,3025819.29,3028979.53,2498843.31,220375,5-story shear model,pending,,,,,,
Case1655,Struct0828,EI,ground_motion/ei3.txt,0.02,g,1,1.0454,0.9344,1.109,0.0576,0.0401,3.026,5,1.076,0.8555,0.9583,1.0028,1.0393,0.9775,1.1005,1.0786,1.1409,0.9245,202473072,147566050.5,150271023,141524161.2,130378106.4,3653504,3804736.64,3426669.06,3304776.58,2418787.84,277250,5-story shear model,pending,,,,,,
Case1656,Struct0828,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,1.0454,0.9344,1.109,0.0576,0.0401,3.026,5,1.076,0.8555,0.9583,1.0028,1.0393,0.9775,1.1005,1.0786,1.1409,0.9245,202473072,147566050.5,150271023,141524161.2,130378106.4,3653504,3804736.64,3426669.06,3304776.58,2418787.84,277250,5-story shear model,pending,,,,,,
Case1657,Struct0829,EI,ground_motion/ei3.txt,0.02,g,1,0.7772,0.8708,0.8492,0.0355,0.031,3.548,5,1.0878,1.0166,0.988,1.1039,1.1049,1.0324,1.069,0.9047,1.0863,0.9442,152178868.8,130366750.8,115181040,115823395.8,103047393.6,3596055.68,3444275.24,2678563.38,2932445.12,2302186.21,212300,5-story shear model,pending,,,,,,
Case1658,Struct0829,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,0.7772,0.8708,0.8492,0.0355,0.031,3.548,5,1.0878,1.0166,0.988,1.1039,1.1049,1.0324,1.069,0.9047,1.0863,0.9442,152178868.8,130366750.8,115181040,115823395.8,103047393.6,3596055.68,3444275.24,2678563.38,2932445.12,2302186.21,212300,5-story shear model,pending,,,,,,
Case1659,Struct0830,EI,ground_motion/ei3.txt,0.02,g,1,1.2411,0.7703,0.9074,0.0289,0.0113,3.008,5,0.9079,1.0408,0.8667,0.9707,0.9503,1.1323,1.0724,0.9073,1.0948,1.1025,202823044.2,213136585.2,161349205.5,162639329,141530079.6,3488842.76,3056457.96,2376236.85,2614305.76,2377916.1,226850,5-story shear model,pending,,,,,,
Case1660,Struct0830,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,1.2411,0.7703,0.9074,0.0289,0.0113,3.008,5,0.9079,1.0408,0.8667,0.9707,0.9503,1.1323,1.0724,0.9073,1.0948,1.1025,202823044.2,213136585.2,161349205.5,162639329,141530079.6,3488842.76,3056457.96,2376236.85,2614305.76,2377916.1,226850,5-story shear model,pending,,,,,,
Case1661,Struct0831,EI,ground_motion/ei3.txt,0.02,g,1,0.8317,1.2036,1.154,0.0544,0.043,3.018,5,0.9167,0.9043,0.9639,0.8965,1.0208,1.1277,1.1045,1.0561,1.0777,0.8695,137235490.2,124097541.2,120251344.5,100658571.8,101879923.2,5429198.88,4918691.94,4321814.66,4021071.13,2930284.56,288500,5-story shear model,pending,,,,,,
Case1662,Struct0831,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,0.8317,1.2036,1.154,0.0544,0.043,3.018,5,0.9167,0.9043,0.9639,0.8965,1.0208,1.1277,1.1045,1.0561,1.0777,0.8695,137235490.2,124097541.2,120251344.5,100658571.8,101879923.2,5429198.88,4918691.94,4321814.66,4021071.13,2930284.56,288500,5-story shear model,pending,,,,,,
Case1663,Struct0832,EI,ground_motion/ei3.txt,0.02,g,1,1.0974,1.1033,1.0305,0.0738,0.0206,3.251,5,1.0071,1.1003,0.953,1.0394,1.0381,1.1149,0.8936,0.9259,1.0654,0.8548,198934477.2,199232421.3,156873330,153986070.6,136705312.8,4920276.68,3647862.86,3473254.6,3643913.04,2640682.35,257625,5-story shear model,pending,,,,,,
Case1664,Struct0832,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,1.0974,1.1033,1.0305,0.0738,0.0206,3.251,5,1.0071,1.1003,0.953,1.0394,1.0381,1.1149,0.8936,0.9259,1.0654,0.8548,198934477.2,199232421.3,156873330,153986070.6,136705312.8,4920276.68,3647862.86,3473254.6,3643913.04,2640682.35,257625,5-story shear model,pending,,,,,,
Case1665,Struct0833,EI,ground_motion/ei3.txt,0.02,g,1,0.9032,0.7573,1.0536,0.0313,0.0325,3.395,5,1.0229,0.9973,1.0159,1.0673,1.0959,0.9881,1.1276,0.861,1.0475,0.9798,166298990.4,148625624.4,137634132,130138023.6,118778025.6,2993152.52,3159546.48,2216920.02,2459142.43,2077607.11,263400,5-story shear model,pending,,,,,,
Case1666,Struct0833,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,0.9032,0.7573,1.0536,0.0313,0.0325,3.395,5,1.0229,0.9973,1.0159,1.0673,1.0959,0.9881,1.1276,0.861,1.0475,0.9798,166298990.4,148625624.4,137634132,130138023.6,118778025.6,2993152.52,3159546.48,2216920.02,2459142.43,2077607.11,263400,5-story shear model,pending,,,,,,
